path,label,cluster_id
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\005d75fd1ab5478b0a1b3290032e9358.jpg,1,1
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\007976c486543ea187dcc285f1564aca.jpg,1,2
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\009e2661284808d4373a71d2f461ac86.jpg,1,3
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\00c267a9a5895b1b04a58228f37d3116.jpg,1,5
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\00e5d366808afde912ec0d6f3905890e.jpg,1,6
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\00f07d4b277a6de64488cb1137347db6.jpg,1,7
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01065ddfd068eb0e5358795714c6022f.jpg,1,8
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01516a9a358b7196b18236017750faf8.jpg,1,9
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0153dbf9d4484a990b1d183825679bc9.jpg,1,10
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0170c0b56f8e4726aba50cfd7bf22ec1.jpg,1,13
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0174ad90fad81e8632464a7403cada1f.jpg,1,14
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0196052669e65fb569a8415d8db526a0.jpg,1,16
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01a351d6d01d9a525a11e75e32942c68.jpg,1,17
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01cd39528965c78e119e6629adfa99f0.jpg,1,18
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01dcea291ddc7ce0fd04d17c9007198a.jpg,1,19
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01e4ea11aa55bb0e036912e8c84c478e.jpg,1,20
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\01fa6f6ee89e05957cb30a23b17db813.jpg,1,22
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0205bc42e82109eff8654f5ed3786c58.jpg,1,23
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\0222bf1407ce04265977a1b8b2d8e4b5.jpg,1,25
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\02308c0d2b9d80b66eae5746eb8d4245.jpg,1,27
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\026f5dca63cec37ea51284c24d495d53.jpg,1,28
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\028b87d92a9be73f88397dbfd9223f80.jpg,1,30
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\02a62272caeadb26d626f3eb55f8802d.jpg,1,31
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\02afc588c84655b011c0ed8f3b83a42d.jpg,1,32
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\02f3531a5e564701be71687cb1ac90a0.jpg,1,33
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\031087b51ead0d1d6fb4b68242e4defd.jpg,1,34
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\03305116c971789a45dbe6df0c3af115.jpg,1,35
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\034cd526ed75ebfd032866f0ac8281b4.jpg,1,36
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\03650b721a949764c0b081e70382fd3d.jpg,1,10
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\036dcfaf0c6f9e504c46ee382f87f5be.jpg,1,37
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\03704ea22436ad2b35d1869ca5e2b014.jpg,1,38
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\039e62a9f6d90adeeb17f8a307218dc9.jpg,1,39
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\03a3e96b15e8735b097156d7b138cd92.jpg,1,40
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\03d3237f3f373bd76824dc3318ac6837.jpg,1,41
C:\Users\16610\Desktop\.workbuddy\.workbuddy\saint_george_classifier\data\raw\georges\045fee4943311234603fb1b63fd2aa3d.jpg,1,42
