epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_f1_macro,val_roc_auc,lr,epoch_sec
1,0.51539,0.673,0.5452,0.9707,0.6982,0.6707,0.9143,0.0002949,525.7
2,0.4062,0.8346,0.7634,0.8341,0.7972,0.8288,0.9154,0.0002799,520.2
3,0.34559,0.8555,0.8644,0.7463,0.801,0.8438,0.9282,0.0002561,510.4
4,0.284,0.8612,0.8056,0.8488,0.8266,0.8555,0.9472,0.000225,730.5
5,0.28735,0.8764,0.8571,0.8195,0.8379,0.869,0.9361,0.0001888,453.1
6,0.25813,0.8897,0.9349,0.7707,0.8449,0.8797,0.9537,0.00015,441.6
7,0.25194,0.8859,0.8502,0.8585,0.8544,0.8803,0.9416,0.0001112,455.0
8,0.23993,0.8973,0.9467,0.7805,0.8556,0.888,0.9551,7.5e-05,448.8
9,0.24221,0.8992,0.8654,0.878,0.8717,0.8944,0.9586,4.39e-05,452.3
10,0.22224,0.8878,0.8967,0.8049,0.8483,0.8797,0.9603,2.01e-05,451.0
11,0.19844,0.903,0.9278,0.8146,0.8675,0.8955,0.9619,5.1e-06,533.8
12,0.18594,0.9011,0.8806,0.8634,0.8719,0.8957,0.9622,0.0,501.2
